name,type,address,lon,lat,pname,cityname,adname
Peet's Coffee皮爷咖啡(首钢园店),餐饮服务;咖啡厅;咖啡厅,石景山路68号工业遗址公园13号楼,116.160021,39.910171,北京市,北京市,石景山区
紫光园清真北京小吃(天安门店),餐饮服务;餐饮相关场所;餐饮相关,北京城区前门西大街正阳市场1号楼1层106,116.395612,39.899509,北京市,北京市,西城区
喜茶(北京荟聚中心店),餐饮服务;冷饮店;冷饮店,欣宁街15号北京荟聚中心L1-01C75,116.325468,39.787302,北京市,北京市,大兴区
JM Cafe咖啡(白塔寺店),餐饮服务;咖啡厅;咖啡厅,北京城区宫门口东岔29号,116.362449,39.925763,北京市,北京市,西城区
隆延茶铺·正统奶茶(东直门来福士店),餐饮服务;冷饮店;冷饮店,东直门南大街1-1来福士B1层B1-K22K25,116.432445,39.940244,北京市,北京市,东城区
8KM COFFEE,餐饮服务;咖啡厅;咖啡厅,阜通东大街6号院2号楼方恒国际B座1层102,116.480870,39.990321,北京市,北京市,朝阳区
紫光园奶皮子酸奶站(北京站店),餐饮服务;餐饮相关场所;餐饮相关,建国门街道北京站东街东寿禄39号平价超市,116.430720,39.904618,北京市,北京市,东城区
喜茶(三里屯太古里店),餐饮服务;冷饮店;冷饮店,三里屯路19号院地下一层SLG33b单元,116.454670,39.935132,北京市,北京市,朝阳区
星巴克咖啡(北投新奥购物中心店),餐饮服务;咖啡厅;星巴克咖啡,北京城区湖景东路9、11号2幢-1层-101内B1-05单元,116.394965,39.999792,北京市,北京市,朝阳区
URBAN GREEN(北京雍和宫店),购物服务;服装鞋帽皮具店;品牌服装店|餐饮服务;咖啡厅;咖啡厅,前永康胡同11号东雍文化园内,116.420260,39.944164,北京市,北京市,东城区
紫光园酸奶站(南锣鼓巷店),餐饮服务;餐饮相关场所;餐饮相关,南锣鼓巷121号(南锣鼓巷地铁站E西北口步行190米),116.403060,39.935366,北京市,北京市,东城区
青玉酸奶,餐饮服务;冷饮店;冷饮店,北京城区豆角胡同46号,116.398483,39.936717,北京市,北京市,东城区
喜茶·茶坊(北京三里屯太古里黑金店),餐饮服务;冷饮店;冷饮店,三里屯太古里西区一层W1-10,116.453264,39.934638,北京市,北京市,朝阳区
大山咖啡coffee,餐饮服务;咖啡厅;咖啡厅,北京城区渤海镇苇店村51号,116.557080,40.406506,北京市,北京市,怀柔区
静水StillWater,餐饮服务;咖啡厅;咖啡厅,鼓楼东大街69号,116.405482,39.941009,北京市,北京市,东城区
VOYAGE COFFEE Espresso(南锣鼓巷店),餐饮服务;咖啡厅;咖啡厅,地安门东大街97号(南锣鼓巷地铁站A西北口步行190米),116.400267,39.933630,北京市,北京市,东城区
1901 Cafe(西四店),餐饮服务;咖啡厅;咖啡厅,西安门大街101号(近西什库大街),116.378154,39.922760,北京市,北京市,西城区
喜茶(北京世纪金源购物中心店),餐饮服务;冷饮店;冷饮店,远大路1号世纪金源购物中心1层1015号商铺,116.288513,39.958270,北京市,北京市,海淀区
BLOOM,购物服务;购物相关场所;购物相关场所,北京城区高碑店路398号崇德文化产业园C区5号,116.527159,39.881152,北京市,北京市,朝阳区
茶百道(合生汇店),餐饮服务;冷饮店;冷饮店,西大望路21号北京朝阳合生汇B2(九龙山地铁站E西北口旁),116.479246,39.893744,北京市,北京市,朝阳区
漫咖啡MAAN COFFEE(四得公园店),餐饮服务;咖啡厅;咖啡厅,将台西路9-7号(将台西地铁站A口旁),116.478138,39.972486,北京市,北京市,朝阳区
瑞幸咖啡(荟聚购物中心三层店),餐饮服务;咖啡厅;咖啡厅,西红门镇欣宁街15号北京荟聚西红门购物中心三层03F04K号,116.326634,39.788018,北京市,北京市,大兴区
il gatto coffee意咖多咖啡(日坛店),餐饮服务;咖啡厅;咖啡厅,秀水东街1号圭亚那大使馆马路对面,116.449427,39.916336,北京市,北京市,朝阳区
星巴克(北京蓝色港湾RO臻选店),餐饮服务;咖啡厅;星巴克咖啡,朝阳公园路6号SOLANA蓝色港湾1F层,116.473616,39.949201,北京市,北京市,朝阳区
尹三豆汁冰淇淋(南锣鼓巷店),餐饮服务;冷饮店;冷饮店,南锣鼓巷89号(南锣鼓巷地铁站E西北口步行380米),116.403095,39.937179,北京市,北京市,东城区
星巴克(北京三里屯SOHO一店),餐饮服务;咖啡厅;星巴克咖啡,北京城区工人体育场北路8号院1号楼1层1118,116.453273,39.932847,北京市,北京市,朝阳区
一尺花园(首钢店),餐饮服务;餐饮相关场所;餐饮相关,北京城区首钢厂区首都钢铁公司动力厂1幢,116.158056,39.919123,北京市,北京市,石景山区
藏书馆咖啡(牡丹园店),餐饮服务;咖啡厅;咖啡厅,牡丹园西里11-16号底商牡丹园地铁B口东北口往北200米右侧即到,116.370316,39.978823,北京市,北京市,海淀区
CHARLIETOWN红茶公司(北京国贸商城店),餐饮服务;冷饮店;冷饮店,建国门外大街1号国贸商城北区L2层NL2026(二楼耐克对面),116.460898,39.912718,北京市,北京市,朝阳区
星巴克臻选(北京荟聚店),餐饮服务;咖啡厅;星巴克咖啡,西红门镇欣宁大街15号北京荟聚中心1层01F27号,116.327349,39.787782,北京市,北京市,大兴区
BE YOLO(菜市口店),购物服务;服装鞋帽皮具店;品牌服装店,天景胡同6号13室,116.374105,39.884788,北京市,北京市,西城区
蜜雪冰城(三里屯SOHO旗舰店),餐饮服务;冷饮店;冷饮店,三里屯SOHO蜜雪冰城旗舰店,116.454009,39.932415,北京市,北京市,朝阳区
星巴克(林肯公园店),餐饮服务;咖啡厅;星巴克咖啡,北京城区文化园西路6号17号楼一层101-1单元,116.494277,39.805659,北京市,北京市,大兴区
星巴克臻选(新地佰店),餐饮服务;咖啡厅;星巴克咖啡,什刹海街道地安门外大街31号1号楼1层1-04号,116.395725,39.938325,北京市,北京市,西城区
CHAGEE霸王茶姬(北京荟聚购物中心店),餐饮服务;冷饮店;冷饮店,荟聚商城中心北1门一层01B44(西红门地铁站A西北口旁),116.327573,39.789841,北京市,北京市,大兴区
喜茶(北京五棵松华熙店),餐饮服务;冷饮店;冷饮店,复兴路69号华熙LIVE16幢1层101-203,116.278226,39.910269,北京市,北京市,海淀区
鼓捣猫呢咖啡馆(南锣鼓巷店),餐饮服务;咖啡厅;咖啡厅,南锣鼓巷小菊儿胡同71号,116.403476,39.939871,北京市,北京市,东城区
Blue Seed和风洋食·氮气咖啡(亦庄店),餐饮服务;咖啡厅;咖啡厅,北京城区经海六路9号银和港A座1层东南侧,116.569259,39.788251,北京市,北京市,通州区
星巴克(北京雍和大厦店),餐饮服务;咖啡厅;星巴克咖啡,北京城区安定门东大街28号雍和大厦C座1层西侧,116.420844,39.948383,北京市,北京市,东城区
喜茶(北京凯德MALL西直门店),餐饮服务;冷饮店;冷饮店,西直门外大街1号凯德MALL(西直门店)F1层,116.352816,39.941917,北京市,北京市,西城区
Songmont山下有松(颐堤港店),餐饮服务;冷饮店;冷饮店,北京城区酒仙桥路18号颐堤港L1层L1-156,116.491866,39.969615,北京市,北京市,朝阳区
星巴克臻选(北京首都机场11店),餐饮服务;咖啡厅;星巴克咖啡,北京首都国际机场T3航站楼4层公共区,116.615432,40.056342,北京市,北京市,顺义区
霸王茶姬(北京朝阳合生汇店),餐饮服务;冷饮店;冷饮店,北京城区西大望路甲22号院合生汇1号楼B1层B1-19号,116.479995,39.893618,北京市,北京市,朝阳区
漫咖啡MAAN COFFEE(望京店),餐饮服务;咖啡厅;咖啡厅,望京街200号,116.479045,40.000394,北京市,北京市,朝阳区
瑞幸咖啡(什刹海新地佰店),餐饮服务;咖啡厅;咖啡厅,地安门外大街31号1号楼新地佰商场负一层B1-21号,116.395390,39.937757,北京市,北京市,西城区
三元梅园(什刹海店),餐饮服务;冷饮店;冷饮店,北京城区地安门外大街31号新地佰地下一层,116.395340,39.937941,北京市,北京市,西城区
咪咕咖啡(首钢园店),餐饮服务;咖啡厅;咖啡厅,北辛安路金安科幻广场9号楼(金安桥地铁站K口步行300米),116.160900,39.919841,北京市,北京市,石景山区
ORIGINE-Coffee&Bistro,餐饮服务;咖啡厅;咖啡厅,光华北一街双花园南里三区19号楼1-101,116.459875,39.899062,北京市,北京市,朝阳区
喜茶(北京朝阳大悦城店B1层),餐饮服务;冷饮店;冷饮店,朝阳北路101号楼朝阳大悦城B1-11(青年路地铁站B东北口),116.519359,39.924000,北京市,北京市,朝阳区
瑞幸咖啡(合生汇店),餐饮服务;咖啡厅;咖啡厅,西大望路甲22号院1号楼商业部分一层21A-02号,116.480516,39.893876,北京市,北京市,朝阳区
星巴克(龙湖北京颐和星悦荟店),餐饮服务;咖啡厅;星巴克咖啡,北京城区颐和园路206号龙湖星悦荟L1-01-03号,116.289242,39.998359,北京市,北京市,海淀区
星巴克臻选(北京国贸四店),餐饮服务;咖啡厅;星巴克咖啡,建国门外大街1号国贸商城1期地下一层SB122A,116.458080,39.909573,北京市,北京市,朝阳区
福顶咖啡(雍和宫店),餐饮服务;咖啡厅;咖啡厅,五道营胡同26号(雍和宫地铁站G西南口步行150米),116.414555,39.948370,北京市,北京市,东城区
星巴克(常通路店),餐饮服务;咖啡厅;星巴克咖啡,龙湖长楹天街购物中心西区一层和二层,116.600360,39.925201,北京市,北京市,朝阳区
瑞幸咖啡(西直门凯德MALL 负一层店),餐饮服务;咖啡厅;咖啡厅,西直门外大街1号西直门凯德茂负一层55、56、57号,116.353246,39.942008,北京市,北京市,西城区
TIANROAST COFFEE(大望路店),餐饮服务;咖啡厅;咖啡厅,建外街道恒源路建国门外郎家园10号61幢1层A2-03,116.472422,39.907156,北京市,北京市,朝阳区
% Arabica阿拉比卡咖啡(白塔寺店),餐饮服务;咖啡厅;咖啡厅,白塔寺东夹道72号,116.363752,39.924447,北京市,北京市,西城区
星巴克(西直门凯德MALL店),餐饮服务;咖啡厅;星巴克咖啡,北京城区西直门外大街1号西环广场凯德MALL购物中心B1楼,116.353533,39.941924,北京市,北京市,西城区
萤火虫咖啡(砖著店),餐饮服务;咖啡厅;咖啡厅,西砖胡同甲19号(距地铁4/7线菜市口站D口西南口步行630m),116.370220,39.887096,北京市,北京市,西城区
瑞幸咖啡(南锣鼓巷店),餐饮服务;咖啡厅;咖啡厅,地安门东大街南锣鼓巷站一层108室,116.403498,39.933275,北京市,北京市,东城区
茉莉奶白(北京朝阳合生汇店),餐饮服务;冷饮店;冷饮店,西大望路21号北京合生汇B1层B1-29A,116.478337,39.893830,北京市,北京市,朝阳区
星巴克臻选(北京合生汇2店),餐饮服务;咖啡厅;星巴克咖啡,北京城区西大望路甲22号合生汇L1层L1-23,116.479304,39.893692,北京市,北京市,朝阳区
2333咖啡,餐饮服务;咖啡厅;咖啡厅,酒仙桥兆维工业园A2-2(将台地铁站A西北口步行320米),116.491615,39.973248,北京市,北京市,朝阳区
平行世界·猫咖(首经贸店),餐饮服务;咖啡厅;咖啡厅,首经贸北路万芳园13号楼9单元商业03(在底商区小区外面),116.315668,39.844783,北京市,北京市,丰台区
星巴克(光耀东方店),餐饮服务;咖啡厅;星巴克咖啡,羊坊店路18号光耀东方广场一层103单元,116.321932,39.899204,北京市,北京市,海淀区
JM Cafe(北锣店),餐饮服务;咖啡厅;咖啡厅,北锣鼓巷45号,116.402610,39.945003,北京市,北京市,东城区
桃囍咖食(观湖店),餐饮服务;咖啡厅;咖啡厅,北京城区西峪甲1号-3,117.099283,40.310409,北京市,北京市,平谷区
LAVAZZA拉瓦萨咖啡(北京方圆大厦店),餐饮服务;咖啡厅;咖啡厅,甘家口街道中关村南大街甲56号一层1002,116.329880,39.939081,北京市,北京市,海淀区
TOWN HOUSE 北欧咖啡(国子监店),餐饮服务;咖啡厅;咖啡厅,国子监街76号,116.409654,39.945367,北京市,北京市,东城区
霸王茶姬(五棵松华熙店),餐饮服务;冷饮店;冷饮店,北京城区复兴路69号16幢五棵松华熙-1层-101-057,116.278159,39.908937,北京市,北京市,海淀区
隆延茶铺(三里屯T+mall店),餐饮服务;冷饮店;冷饮店,北京城区三里屯一号场地下一层B1-18,116.454923,39.932212,北京市,北京市,朝阳区
文宇奶酪店(南锣鼓巷店),餐饮服务;甜品店;甜品店,南锣鼓巷49号,116.403112,39.938691,北京市,北京市,东城区
瑞幸咖啡(五棵松万达广场店),餐饮服务;咖啡厅;咖啡厅,复兴路69号3号楼一层101号,116.277485,39.913840,北京市,北京市,海淀区
奈雪的茶(北京朝阳合生汇店),餐饮服务;冷饮店;冷饮店,西大望路甲22号北京朝阳合生汇B1层,116.479394,39.893660,北京市,北京市,朝阳区
星巴克(西小口路店),餐饮服务;咖啡厅;星巴克咖啡,北京城区西小口路66号中关村东升科技园B区6号楼C座一层101室,116.356881,40.046884,北京市,北京市,海淀区
CHAGEE霸王茶姬(北京昌平合生汇店),餐饮服务;冷饮店;冷饮店,回龙观北清路1号珠江摩尔大厦旁北京超极合生汇负2层,116.293061,40.096678,北京市,北京市,昌平区
Basepoint(龙湾别墅店),体育休闲服务;体育休闲服务场所;体育休闲服务场所,北京城区空港街道龙湾七街1-A,116.510867,40.081409,北京市,北京市,顺义区
瑞幸咖啡(北京大学店),餐饮服务;咖啡厅;咖啡厅,颐和园路5号北京大学生命科学科研大楼吕志和楼负一层141号,116.313254,39.992661,北京市,北京市,海淀区
铁手咖啡友谊花园店,餐饮服务;咖啡厅;咖啡厅,北京城区建国门外大街17号22幢平房,116.442989,39.909894,北京市,北京市,朝阳区
星巴克(护国新天地店),餐饮服务;咖啡厅;星巴克咖啡,北京城区护国寺街85号11号楼1层F1-3单元,116.375230,39.935212,北京市,北京市,西城区
星巴克(北京西城远洋大厦店),餐饮服务;咖啡厅;星巴克咖啡,北京城区复兴门内大街158号远洋大厦首层G03A,116.360002,39.905754,北京市,北京市,西城区
星巴克臻选(北京太阳宫凯德店),餐饮服务;咖啡厅;星巴克咖啡,太阳宫中路12号凯德MALL1层44-45号,116.446731,39.971287,北京市,北京市,朝阳区
三元梅园(王府井店),购物服务;专卖店;专营店|风景名胜;风景名胜相关;旅游景点,王府井大街253号百货大楼B1层,116.410236,39.914013,北京市,北京市,东城区
星巴克(五道口购物中心店),餐饮服务;咖啡厅;星巴克咖啡,海淀街道府路28号五道口商城1层,116.339065,39.992428,北京市,北京市,海淀区
星巴克(新中关购物中心店),餐饮服务;咖啡厅;星巴克咖啡,北京城区中关村大街19号新中关大厦首层L128A号(近海淀医院),116.315725,39.978149,北京市,北京市,海淀区
沪上阿姨鲜果茶(北京荟聚购物中心店),餐饮服务;冷饮店;冷饮店,武宁街15号院1号楼3层03D81C(宜家对面),116.327353,39.788217,北京市,北京市,大兴区
脸红秦田田(合生汇店),餐饮服务;中餐厅;中餐厅,西大望路合生汇B1-21街区67B号,116.481210,39.893693,北京市,北京市,朝阳区
Cafe Zarah(鼓楼东大街店),餐饮服务;咖啡厅;咖啡厅,鼓楼东大街46号,116.406204,39.940746,北京市,北京市,东城区
星巴克(北京官舍万科公园五号店),餐饮服务;咖啡厅;星巴克咖啡,甜水西园17号楼1层101内01号,116.477753,39.925420,北京市,北京市,朝阳区
赛先生的咖啡馆·简餐(创富大厦店),餐饮服务;咖啡厅;咖啡厅,丹棱街18号创富大厦F1层,116.308033,39.978643,北京市,北京市,海淀区
Peet's Coffee皮爷咖啡(合生麒麟新天地店),餐饮服务;咖啡厅;咖啡厅,北京城区阜安西路11号楼1层01128室,116.478329,39.997202,北京市,北京市,朝阳区
星巴克(北京金融街金树街店),餐饮服务;咖啡厅;星巴克咖啡,北京城区金城坊街金融街公寓F座9-11号,116.361498,39.917285,北京市,北京市,西城区
Peet's Coffee 皮爷咖啡(环贸中心店),餐饮服务;咖啡厅;咖啡厅,北京城区北三环东路36号E座10房间,116.410670,39.966516,北京市,北京市,东城区
星巴克(龙湖北京大兴天街店),餐饮服务;咖啡厅;星巴克咖啡,北京城区永大路龙湖时代天街购物中心一层EF-59,116.320669,39.687721,北京市,北京市,大兴区
星巴克(国奥中心店),餐饮服务;咖啡厅;星巴克咖啡,北京城区林萃东路2号院甲3号楼国奥中心1层F106室,116.381397,40.009255,北京市,北京市,朝阳区
METAL铁手咖啡制造局 (白塔寺店),餐饮服务;咖啡厅;咖啡厅,新街口街道东岔86号、宫门口东岔86号1号房,116.362679,39.924170,北京市,北京市,西城区
TIANROAST咖啡体验馆(751店),餐饮服务;咖啡厅;咖啡厅,酒仙桥北路751D·PARKB7(奥迪办公楼南侧),116.499856,39.984231,北京市,北京市,朝阳区
瑞幸咖啡(新奥天虹店),餐饮服务;咖啡厅;咖啡厅,湖景东路9号新奥天虹商场B1层,116.394591,40.001496,北京市,北京市,朝阳区
爷爷不泡茶NOYEYENOTEA(北京合生汇店),餐饮服务;冷饮店;冷饮店,北京城区西大望路甲22号院1号楼-B1 层-105内-1层18B号,116.480226,39.893651,北京市,北京市,朝阳区
StillCoffee还是咖啡(大望路店),餐饮服务;咖啡厅;咖啡厅,建国路东郎电影创意产业园Y栋2层202号,116.472862,39.907223,北京市,北京市,朝阳区
CHAGEE霸王茶姬(新奥购物中心店),餐饮服务;冷饮店;冷饮店,北京城区新奥购物中心地下一层东B门下扶梯右手边,116.395874,40.000345,北京市,北京市,朝阳区
雕刻时光咖啡馆(北师大店),餐饮服务;咖啡厅;咖啡厅,学院南路甲10号,116.365898,39.957778,北京市,北京市,海淀区
星巴克臻选(北京凤凰汇店),餐饮服务;咖啡厅;星巴克咖啡,北京城区曙光西里甲5号院10号楼-17-1层17,116.455079,39.963292,北京市,北京市,朝阳区
HALF COFFEE(宏恩观店),餐饮服务;咖啡厅;咖啡厅,豆腐池胡同21号观中内,116.396149,39.943962,北京市,北京市,东城区
瑞幸咖啡(枢密院店),餐饮服务;餐饮相关场所;餐饮相关,嘉创路10号枢密院1号楼一层102号,116.544657,39.821622,北京市,北京市,通州区
Grid Coffee(北京奥森公园店),餐饮服务;餐饮相关场所;餐饮相关,科荟路27号,116.393065,40.011659,北京市,北京市,朝阳区
瑞幸咖啡(花乡奥莱村店),餐饮服务;冷饮店;冷饮店,南四环西路76号花乡奥莱村13号楼一层13101-Q号,116.323142,39.826228,北京市,北京市,丰台区
星巴克臻选(龙湖北京丽泽天街店),餐饮服务;咖啡厅;星巴克咖啡,丽泽路16号院1号楼首创龙湖北京丽泽天街一层1号门02号商铺,116.334140,39.867342,北京市,北京市,丰台区
星巴克咖啡(乐成中心SPACE3店),餐饮服务;咖啡厅;星巴克咖啡,北京城区东三环中路22号楼乐成中心1层1-15号(双井地铁站E口旁),116.462250,39.894473,北京市,北京市,朝阳区
星巴克(南锣鼓巷店),餐饮服务;咖啡厅;星巴克咖啡,北京城区南锣鼓巷20号,116.403402,39.939689,北京市,北京市,东城区
山喜之手作(合生汇店),餐饮服务;冷饮店;冷饮店,双井街道西大望路甲22号朝阳合生汇B1层02B,116.478319,39.894209,北京市,北京市,朝阳区
吾肆WUSI FLORA CAFE&BAR(胡同店),餐饮服务;咖啡厅;咖啡厅,方家胡同与公益巷交叉口东南20米,116.411338,39.943999,北京市,北京市,东城区
