0,喜茶(北京王府井喜悦购物中心店),餐饮服务;冷饮店;冷饮店,王府井大街301号喜悦购物中心B1-P033号商铺,116.410603,39.909903,北京市,北京市,东城区,22,0,抗寒：重度商务刚需,44
1,霸王茶姬(北京王府井喜悦店),餐饮服务;冷饮店;冷饮店,北京城区王府井大街301号1层101内P012号,116.410561,39.909833,北京市,北京市,东城区,22,0,抗寒：重度商务刚需,44
2,奈雪的茶(王府井喜悦购物中心店),餐饮服务;冷饮店;冷饮店,东华门街道王府井大街301号王府井喜悦购物中心B1-P031,116.410988,39.90968,北京市,北京市,东城区,24,0,抗寒：重度商务刚需,48
3,茶百道(北京王府井喜悦中心店),餐饮服务;休闲餐饮场所;休闲餐饮场所,王府井大街301号G-B1-P030(王府井地铁站F1东口步行190米),116.410594,39.909954,北京市,北京市,东城区,22,0,抗寒：重度商务刚需,44
4,瑞幸咖啡(王府井喜悦店),餐饮服务;咖啡厅;咖啡厅,王府井大街301号王府井喜悦购物中心B2层P029号,116.410563,39.909897,北京市,北京市,东城区,22,0,抗寒：重度商务刚需,44
5,LELECHA乐乐茶(王府井喜悦店),餐饮服务;冷饮店;冷饮店,东华门街道王府井大街301号(王府地铁站F1东口步行70米)王府巷喜悦购物中心负一层,116.4105,39.90993,北京市,北京市,东城区,22,0,抗寒：重度商务刚需,44
6,喜茶(北京东方新天地店),餐饮服务;冷饮店;冷饮店,长安街1号东方新天地LG17号商铺,116.412893,39.909235,北京市,北京市,东城区,22,0,抗寒：重度商务刚需,44
7,LINLEE·手打柠檬茶(王府井喜悦店),餐饮服务;冷饮店;冷饮店,王府井大街301号王府井喜悦购物中心B1层,116.410709,39.909872,北京市,北京市,东城区,22,0,抗寒：重度商务刚需,44
8,兰熊鲜奶(东方新天地店),餐饮服务;冷饮店;冷饮店,东长安街1号北京东方新天地LG层FF01,116.412387,39.909517,北京市,北京市,东城区,23,0,抗寒：重度商务刚需,46
9,蜜雪冰城(王府井喜悦店),餐饮服务;冷饮店;冷饮店,王府井大街301-1号1层1号,116.410892,39.91037,北京市,北京市,东城区,26,0,抗寒：重度商务刚需,52
10,牛茶燕窝饮品(东方新天地店),餐饮服务;冷饮店;冷饮店,长安街东方新天地地铁层B1层第三区EE06B,116.41433,39.90949,北京市,北京市,东城区,0,0,中庸：混合社区,0
11,垂涎冰淇淋·茶饮(王府井喜悦店),餐饮服务;冷饮店;冷饮店,东城区王府井喜悦购物中心地下一层(垂涎冰淇淋),116.410557,39.909902,北京市,北京市,东城区,22,0,抗寒：重度商务刚需,44
12,喜茶(北京前门大街店),餐饮服务;冷饮店;冷饮店,前门大街2号一层103(前门地铁站I西南口步行80米),116.398255,39.898173,北京市,北京市,东城区,3,0,中庸：混合社区,6
13,裕莲茶楼(北京apm店),餐饮服务;冷饮店;冷饮店,王府井大街138号APMB1层B109-B110、B109A,116.412001,39.914799,北京市,北京市,东城区,27,1,抗寒：重度商务刚需,49
14,长春堂顺时而饮(前门店),餐饮服务;餐饮相关场所;餐饮相关,北京城区鲜鱼口街69号(前门地铁站G东南口步行340米),116.400806,39.89638,北京市,北京市,东城区,3,5,中庸：混合社区,-19
15,李先生牛肉面大王(北京崇文门西大街餐厅),餐饮服务;快餐厅;快餐厅,崇文门西大街2号崇文门饭店2-2,116.417619,39.900634,北京市,北京市,东城区,20,1,中庸：混合社区,35
16,煮叶(北京apm店),餐饮服务;冷饮店;冷饮店|餐饮服务;中餐厅;中餐厅,王府井大街138号B1层B107号,116.412583,39.914965,北京市,北京市,东城区,28,1,抗寒：重度商务刚需,51
17,煮叶(东方广场店),餐饮服务;休闲餐饮场所;休闲餐饮场所,北京城区东长安街1号北京东方新天地商场地铁层BB78号,116.41608,39.90942,北京市,北京市,东城区,21,0,抗寒：重度商务刚需,42
18,喜茶(北京apm店),餐饮服务;冷饮店;冷饮店,王府井大街138号北京apm B1层B103A号商铺,116.412444,39.915228,北京市,北京市,东城区,30,1,抗寒：重度商务刚需,55
19,CHAGEE霸王茶姬(北京王府井APM店),餐饮服务;冷饮店;冷饮店,王府井大街138号北京apmB1层,116.412681,39.915039,北京市,北京市,东城区,0,0,中庸：混合社区,0
20,luckin coffee 瑞幸咖啡(廊房头条店),餐饮服务;咖啡厅;咖啡厅,北京城区廊房头条2号院2号楼一层,116.397116,39.897472,北京市,北京市,西城区,3,4,中庸：混合社区,-14
21,茉莉奶白(北京王府井APM店),餐饮服务;冷饮店;冷饮店,王府井大街138号东安市场B1层(金鱼胡同地铁站出入口旁),116.412017,39.914413,北京市,北京市,东城区,25,1,抗寒：重度商务刚需,45
22,CoCo都可(王府井APM店),餐饮服务;冷饮店;冷饮店,王府井大街138号新东安广场四层L426A,116.411877,39.913865,北京市,北京市,东城区,26,1,抗寒：重度商务刚需,47
23,1点点(国瑞购物中心店),餐饮服务;冷饮店;冷饮店,崇文门外大街18号国瑞购物中心G-40,116.419213,39.898029,北京市,北京市,东城区,21,3,抗寒：重度商务刚需,27
24,喜茶(北京东城崇文门摩方店),餐饮服务;冷饮店;冷饮店,崇文门合景摩方购物中心1层102,116.417629,39.899593,北京市,北京市,东城区,21,3,抗寒：重度商务刚需,27
25,CHAGEE霸王茶姬(北京东方新天地店),餐饮服务;冷饮店;冷饮店,东长安街1号东方新天地东门首层第五区AA67E,116.416872,39.909616,北京市,北京市,东城区,23,0,抗寒：重度商务刚需,46
26,爷爷不泡茶NOYEYENOTEA(北京王府井东安门店),餐饮服务;餐饮相关场所;餐饮相关,东安门大街53号(金鱼胡同地铁站C西南口步行210米),116.408066,39.915533,北京市,北京市,东城区,25,3,抗寒：重度商务刚需,35
27,沪上阿姨·精选茶饮(北京国瑞城店),餐饮服务;冷饮店;冷饮店,北京城区崇文门外大街18号院1幢GZD-21号院铺,116.419687,39.898269,北京市,北京市,东城区,20,3,中庸：混合社区,25
28,柠季·手打柠檬茶(北京王府井APM旗舰店),餐饮服务;冷饮店;冷饮店,王府井大街138号北京APM购物中心6楼豆之屋旁边,116.412071,39.914864,北京市,北京市,东城区,29,1,抗寒：重度商务刚需,53
29,蜜雪冰城(国瑞购物中心店),餐饮服务;冷饮店;冷饮店,崇文门外大街18号1幢地下一层一点点奶茶旁边,116.419194,39.898231,北京市,北京市,东城区,20,3,中庸：混合社区,25
30,喜茶(北京崇文门国瑞城店),餐饮服务;冷饮店;冷饮店,北京城区崇文门外大街18号1幢F1-27号号商铺,116.419367,39.898935,北京市,北京市,东城区,20,3,中庸：混合社区,25
31,CHAGEE霸王茶姬(北京国瑞城店),餐饮服务;冷饮店;冷饮店,崇文门外大街18号便宜坊大厦一层18-4,116.419315,39.89873,北京市,北京市,东城区,20,3,中庸：混合社区,25
